class_name,source,observation_id,photo_id,license,url,sha256,split
badger,inaturalist,279491882,501892291,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/501892291/large.jpg,4491bdc37ad5b0625870da6b1f1d1ef011be4e5224b6af19b1c95066f83bffce,train
badger,inaturalist,251059515,449140217,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/449140217/large.png,ac259c10528b0f9e69366bc2b8a23efae862e1eef6f2636baae1dd63cb8623c4,val
badger,inaturalist,304564266,549055367,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/549055367/large.jpg,63b92aee1230a028f489626ec1dea1d28f8c9379d68f48712d37a1af209b2285,test
badger,inaturalist,304564266,549055364,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/549055364/large.jpg,0e77970f7f2434a959a7fc273929c405c6b2dc363f099d881562045ef4ac2072,test
badger,inaturalist,304564266,549055441,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/549055441/large.jpg,a0656336a16c584686ab1dc49d4f2ed6542e765c8a7f436691521da1291e884d,test
badger,inaturalist,281319836,505337312,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/505337312/large.jpg,7bfbf86b145e0868bd05f55c74c3b27af6355d3cd2cc852f090024e90a90e85b,train
badger,inaturalist,339153921,616902513,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/616902513/large.jpg,a629397d5ac9974f9f5adaba65c00daa18422f3d607099c90598fac066dd390a,train
badger,inaturalist,275767944,495419956,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/495419956/large.jpg,4a15e115c39308c2d917077bbc31ea575a77a4fc806d9d1ae2f10986b739aff7,train
badger,inaturalist,310174778,559782613,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/559782613/large.jpg,61b5bdeb0ae754c61ba809193f27ba13976ea1a2ce8182ab9457e0db9a7e21fd,train
badger,inaturalist,305230740,550877542,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/550877542/large.jpg,2c60a58bbab1a5a5d0dce816e84ded4e807ac6501bdfec1fd32304cd7ff1f62d,val
badger,inaturalist,267879062,481456058,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/481456058/large.jpg,9cc73c7e10c9a494290ad85f9cd1ad14ee6980701d95be165f442885191a7db6,train
badger,inaturalist,277878498,498950348,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/498950348/large.jpeg,1256ce8486e56925e92fe45499d7b9ebf171bad687e2c44f7005542b5610dc2d,train
badger,inaturalist,285777961,513684827,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/513684827/large.jpg,0f79f4dc68253e9cfe81e5113f317011680109eaaf4bed7680b099ab7e01aa7a,train
badger,inaturalist,285777961,513684881,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/513684881/large.jpg,1fbf7ff6dbf9d6b3aa3a79c4299408190a719d41f040f1e53c4e11a79d16a2dc,train
badger,inaturalist,330741179,599825255,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/599825255/large.jpg,f09500f2f709ad911a43a4675b7af31ae85a0a7d3cc2fb11a05adcc774798a0e,val
badger,inaturalist,304236546,548426319,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/548426319/large.jpg,1c930f0d6fb664b89ba1ff3be94701642c486a00fe876689b71ee2155e69f245,train
badger,inaturalist,304236546,548426338,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/548426338/large.jpg,9b58b35067d98e6b8b8edf69e52b2a43ac8b5a027c8eeef5427a1d0dd8acaa66,train
badger,inaturalist,304236546,548426356,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/548426356/large.jpg,b3ee4c9b58c986faec1f32e3872c69ce3df79cefcceb5609b75c3a28b3a7ef0f,train
badger,inaturalist,304236546,548426363,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/548426363/large.jpg,356b178b073b62872963217df6083478dba8500ed23727e052f3120ade6a35b7,train
badger,inaturalist,299569367,539698988,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/539698988/large.jpg,fec24a8ad05b9103ad6c3b5db40441c09149b0d538a594e10dfc854235baf7e0,val
badger,inaturalist,339154330,616902753,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/616902753/large.jpg,e5c297b194dc50ad323f71da33330f12813c1911be3850a976476c0c4ad45a3d,test
badger,inaturalist,277878481,498950063,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/498950063/large.jpeg,eb07eebcb6d7c0472986e21b1fffbf9f19860d26aaeeb36caac9b1c22998726a,train
badger,inaturalist,300339521,541146148,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146148/large.jpg,3fe6ce1b9c1ddcf7d715a82d020f761df788b66361fbbf9a5b749544a31e8299,train
badger,inaturalist,300339521,541146178,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146178/large.jpg,858577c9326196c3bd99fc5f7c8decc3d3e5791c8b2799228d51e62138416771,train
badger,inaturalist,300339521,541146221,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146221/large.jpg,73db6a3790843a6189ffed1958f9158e20df141808de239e690c2deb5ab7786f,train
badger,inaturalist,300339521,541146277,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146277/large.jpg,d6042968bd1f795c35218802aeed3c658e866686ed5d982246538a3b367eda43,train
badger,inaturalist,300339521,541146309,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146309/large.jpg,ce9d227068a9c7cc2bafecc489ee19cd7e06f11afb8aabd6dfb7e015991d61e3,train
badger,inaturalist,300339521,541146338,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146338/large.jpg,28a1ec196d905b5fac8e6b3ff6b34a502fe54b6e3192f8180468084d76a26173,train
badger,inaturalist,300339521,541146381,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146381/large.jpg,14c61055f54ccf425e87f55618bcde7f744853d35550710df2a2919e760e2d8e,train
badger,inaturalist,300339521,541146420,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/541146420/large.jpg,c8974df9da7acd9f7c1421fe22a35057215d7f1f6a2ebdd790c136f8d1bc6864,train
badger,inaturalist,304671356,549268897,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/549268897/large.jpg,7394cd8886a3aa1c9060501825d3253f104a25d94a5fe673454c9c6888a21e11,val
